hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
DC2CFDZEUSA3-02;Vlan17;up;up, autostate enabled;;175.56.23.252/21;
DC2CFDZEUSA3-02;Vlan18;up;up, autostate enabled;;175.56.31.252/21;
DC2CFDZEUSA3-02;Vlan19;up;up, autostate enabled;;175.56.39.252/21;
DC2CFDZEUSA3-02;Vlan20;up;up, autostate enabled;ADMIN_NAS  Internet Address is 174.129.0.253/24;;
DC2CFDZEUSA3-02;Vlan22;down (Administratively down);down, autostate enabled;PZEUS_NonRouted_Antivirus - KEEP SHUT L2 ONLY  Internet Address is 10.0.56.2/21;;
DC2CFDZEUSA3-02;Vlan23;up;up, autostate enabled;PZEUS_STD_FO_VARONIS  Internet Address is 175.128.23.253/21;;
DC2CFDZEUSA3-02;Vlan24;up;up, autostate enabled;IPT-SRV  Internet Address is 184.36.1.3/24;;
DC2CFDZEUSA3-02;Vlan25;up;up, autostate enabled;<> Vlan-Palantir  Internet Address is 193.105.135.253/29;;
DC2CFDZEUSA3-02;Vlan30;up;up, autostate enabled;HDI_AGILE_MARK_DC2  Internet Address is 173.1.192.253/24;;
DC2CFDZEUSA3-02;Vlan51;up;up, autostate enabled;SIPO-PHYSIQUE-PROD  Internet Address is 192.131.56.19/28;;
DC2CFDZEUSA3-02;Vlan53;up;up, autostate enabled;SIPO-PHYSIQUE-HOMO  Internet Address is 192.131.56.3/28;;
DC2CFDZEUSA3-02;Vlan168;up;up, autostate enabled;RLPIT-MULTICAST  Internet Address is 192.16.240.29/27;;
DC2CFDZEUSA3-02;Vlan995;up;up, autostate enabled;NOOBA_Admin  Internet Address is 192.0.21.54/27;;
DC2CFDZEUSA3-02;Vlan1200;up;up, autostate enabled;PZEUS_INTERCO_LB  Internet Address is 175.0.0.252/24;;
DC2CFDZEUSA3-02;Vlan1201;up;up, autostate enabled;NS_INTERCO_HOMO  Internet Address is 175.0.1.252/24;;
DC2CFDZEUSA3-02;Vlan1202;up;up, autostate enabled;CFD_NS_DISPATCH_PROD  Internet Address is 175.0.2.5/29;;
DC2CFDZEUSA3-02;Vlan1820;up;up, autostate enabled;GW_SBC_DC2  Internet Address is 193.109.0.253/24;;
DC2CFDZEUSA3-02;Vlan2134;up;up, autostate enabled;DC2CFDZEUSA3-02  Internet Address is 192.2.34.154/30;;
DC2CFDZEUSA3-02;Vlan2214;up;up, autostate enabled;<> RIX_To_DC2CFDZEUSA2-02_PO10  Internet Address is 192.2.21.157/30;;
