hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;HARDWARE_TYPE;ADDRESS;BIA;DESCRIPTION;IP_ADDRESS;MTU;DUPLEX;SPEED;BANDWIDTH;DELAY;ENCAPSULATION;
;Vlan3013;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER13_AQUI  Internet Address is 173.1.89.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3014;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_GIMS-SGGSC1_AQUI  Internet Address is 173.1.91.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3015;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_GIMS-SGGSC2_AQUI  Internet Address is 173.1.93.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3016;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER16_AQUI  Internet Address is 173.1.95.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3017;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER17_AQUI  Internet Address is 173.1.97.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3018;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER18_AQUI  Internet Address is 173.1.99.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3019;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER19_AQUI  Internet Address is 173.1.101.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3020;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER20_AQUI  Internet Address is 173.1.103.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3021;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER21_AQUI  Internet Address is 173.1.105.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3022;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER22_AQUI  Internet Address is 173.1.107.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3023;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER23_AQUI  Internet Address is 173.1.109.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3024;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER24_AQUI  Internet Address is 173.1.111.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3025;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER25_AQUI  Internet Address is 173.1.113.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3026;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER26_AQUI  Internet Address is 173.1.115.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3027;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER27_AQUI  Internet Address is 173.1.117.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3028;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER28_AQUI  Internet Address is 173.1.119.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3029;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER29_AQUI  Internet Address is 173.1.121.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3030;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER30_AQUI  Internet Address is 173.1.123.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3031;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER31_AQUI  Internet Address is 173.1.125.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3032;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER32_AQUI  Internet Address is 173.1.127.252/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3033;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER33_AQUILA  Internet Address is 173.3.135.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3034;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER34_AQUILA  Internet Address is 173.3.143.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3035;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER35_AQUILA  Internet Address is 173.3.151.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3036;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER36_AQUILA  Internet Address is 173.3.159.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3037;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER37_AQUILA  Internet Address is 173.3.167.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3038;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER38_AQUILA  Internet Address is 173.3.175.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3039;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER39_AQUILA  Internet Address is 173.3.183.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3040;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER40_AQUILA  Internet Address is 173.3.191.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3041;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER41_AQUILA  Internet Address is 173.3.199.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3042;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER42_AQUILA  Internet Address is 173.3.207.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3043;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_PROVIDER43_AQUILA  Internet Address is 173.3.215.252/21;;9216;;;1000000 Kbit;10 usec;ARPA;
